Region,Region2,Country,Policy Level,Province,Policy Type,Key policy measures and targets,Category,Year
Europe,Europe,Italy,National,,Legislation,Phase out new ICE cars by 2035 and LCVs by 2040.,LDV,2022
Europe,Europe,Italy,National,,Legislation,"Grants towards the purchase of a new BEV, lower amount for PHEVs, with an additional scrappage
bonus available.",LDV,2022
Europe,Europe,Italy,National,,Legislation,Subsidy in the form of tax relief for installing home chargers.,EVSE,2019
Asia Pacific,Rest of the World,Japan,National,,Ambition,"100% of car sales to be BEV, PHEV, HEV, or FCEV by 2035, 20-30% of LCV sales by 2030, and electrified vehicles and decarbonised fuel vehicles to account for 100% of sales by 2040 (Green
Growth Strategy).",LDV,2021
Asia Pacific,Rest of the World,Japan,National,,Ambition,"300 000 charging ports including 30 000 public fast chargers (and 1 000 hydrogen stations) by
2030.",EVSE,2023
Asia Pacific,Rest of the World,Japan,National,,Target,"20-30% share of BEVs and PHEVs, 30-40% share of HEVs and 3% share of FCEVs in passenger LDV sales by 2030.",LDV,2010
Asia Pacific,Rest of the World,Japan,Subnational,Tokyo,Legislation,Subsidies for selected 2/3Ws to reach goal of 100% of new 2/3Ws being petrol-free by 2035.,2/3W,2022
Asia Pacific,Rest of the World,Japan,National,,Ambition,Aiming for an advanced introduction of 5 000 electrified M/HDVs in the 2020s.,M/HDV,2021
Asia Pacific,Rest of the World,Japan,National,,Legislation,"Fuel economy standard: 25.4 km/L for passenger LDVs by 2030, equivalent to a 32.4% improvement compared to 2016 and includes EVs. Well-to-wheel approach adopted that includes
grid electricity energy consumption for EVs.",LDV,2020
Asia Pacific,Rest of the World,Japan,National,,Legislation,"Fuel economy standard: 6.52 or 7.63 km/L (JH25) by 2025 (depending on vehicle class and weight) for heavy commercial vehicles. Target to reduce fuel consumption by 13.4-14.3% compared to
2015 standard.",M/HDV,2019
Asia Pacific,Rest of the World,Japan,National,,Legislation,"Purchase subsidies for buses, vans and trucks for commercial use.",M/HDV,2022
Asia Pacific,Rest of the World,Japan,National,,Legislation,Purchase subsidies for passenger cars.,LDV,2022
Africa,Rest of the World,Kenya,National,,Ambition,5% share of electric/hybrid vehicles in total vehicles imported by 2025.,Multiple,2020
Africa,Rest of the World,Kenya,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Asia Pacific,Rest of the World,Korea,National,,Target,8.3 million electric and 2.9 million FCEV vehicle stock by 2040.,Multiple,2019
Asia Pacific,Rest of the World,Korea,National,,Target,"A 2022 manufacturers sales mandate, as a share of annual sales, of 20% for low emission vehicles, and 12% for ZEVs.",Manufacturing,2021
Asia Pacific,Rest of the World,Korea,National,,Target,"3.62 million passenger BEV and 880 000 passenger FCEV stock by 2030 (and 4 million PHEV+HEV),
building upon previous target of 1.13 million passenger BEV stock by 2025 (plus 200 000 passenger FCEV).",LDV,2021
Asia Pacific,Rest of the World,Korea,Subnational,Seoul,Target,Subsidise electric motorcycles with the aim of reaching 100 000 by 2025.,2/3W,2019
Asia Pacific,Rest of the World,Korea,National,,Legislation,Funding available to incentivise EVSE.,EVSE,2022
Asia Pacific,Rest of the World,Korea,National,,Target,"50% of new sales to be BEV, HEV, PHEV, FCEVs by 2025, and 83% by 2030. 80% of Government operated vehicles to be eco-friendly in 2021, reaching 100% in 2023.",LDV,2021
Asia Pacific,Rest of the World,Korea,National,,Legislation,Grants towards the purchase of electric buses.,Bus,2023
Asia Pacific,Rest of the World,Korea,National,,Target,"Install 500 000 electric chargers by 2025 in homes and workplaces, and 17 000 along highways.",EVSE,2021
Asia Pacific,Rest of the World,Korea,National,,Legislation,"Grants available towards the purchase of private and commercial LDVs, which can be combined
with additional local incentives.",LDV,2023
Eurasia,Rest of the World,Kyrgyzstan,National,,Legislation,EVs are exempt from import duties and annual registration tax.,Taxation,2019
Southeast Asia,Rest of the World,Laos,National,,Target,EVs to make up 30% of vehicle stock by 2030.,Multiple,2021
Europe,Europe,Latvia,National,,Legislation,"Grants towards the purchase of a new BEV, with a lower amount for PHEVs and used BEVs.",LDV,2021
Europe,Europe,Latvia,National,,Legislation,"Private car tax exemption for vehicles with less than 50gCO2/km, lowest rate (EUR 10/month) for company cars.",LDV,2020
Europe,Europe,Liechtenstein,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2022
Europe,Europe,Liechtenstein,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Europe,Europe,Lithuania,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2022
Europe,Europe,Lithuania,National,,Legislation,"Grants towards the purchase of a new BEV, lower amounts for used BEV, as well as higher rates
available for LCVs, with scrappage bonuses available.",LDV,2021
Europe,Europe,Lithuania,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",LDV,2022
Europe,Europe,Luxembourg,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Europe,Europe,Luxembourg,National,,Legislation,EVs eligible for lowest rate of car tax.,LDV,2001
Europe,Europe,Luxembourg,National,,Legislation,"Up to EUR 2 000 towards the installation of an eligible charger (EUR 1 200 for a family home, EUR
1 650 for multi-residence complex).",Multiple,2019
Europe,Europe,Luxembourg,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",LDV,2022
Southeast Asia,Rest of the World,Malaysia,National,,Legislation,"Tax relief for companies investing in EVSE manufacturing, as well as import duty and sales tax exemptions for locally assembled EVs to the end of 2027, and imported EVs to the end of 2025.",Manufacturing,2023
Southeast Asia,Rest of the World,Malaysia,National,,Ambition,National Automotive Plan 2020 aiming to increase Malaysia's role in producing electrified vehicles.,Manufacturing,2020
Southeast Asia,Rest of the World,Malaysia,National,,Target,"Low Carbon Mobility Blueprint includes plans to establish a progressively reducing emissions target for new LDVs, exhaust emissions regulations, and other measures to improve vehicle efficiency.",Multiple,2021
Southeast Asia,Rest of the World,Malaysia,National,,Target,"Low Carbon Mobility Blueprint includes measures to increase EV adoption, including targets for government and government-led company fleets, incentives for private and commercial EVs, establishment of an e-bus procurement agency, and various manufacturing incentives.",Multiple,2021
Southeast Asia,Rest of the World,Malaysia,National,,Target,"100% (electrified, CNG, LPG or biofuel-fuelled vehicle) stock for all private transport by 2030.",LDV,2017
Europe,Europe,Malta,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
North America,Rest of the World,Mexico,Subnational,Mexico City,Ambition,"Mobility sector emission reduction plan of Mexico city: 30% emission reduction from mobile sources; time-bound partial traffic restrictions, carpooling schemes, LEZ in central city;  10 000 e- bikes and 16 mass bike parking facilities by 2024; 100% electric moto taxis in 2024, incentive
scheme; 10% of private cars are EVs or HEVs in 2024.",Multiple,2020
North America,Rest of the World,Mexico,National,,Ambition,50% of vehicles produced to be ZEV by 2030.,Manufacturing,2022
North America,Rest of the World,Mexico,National,,Legislation,"Recognition of lithium as strategic mineral, nationalisation of its value chain. Creation by decree of
""Lithium for Mexico"" (Litio para Mexico), a decentralised public body.",Manufacturing,2022
North America,Rest of the World,Mexico,National,,Proposal,"Deployment of 7M electric LDVs by 2030, 22M by 2040, and 31M by 2050.",LDV,2021
North America,Rest of the World,Mexico,National,,Proposal,"Deployment of 338,000 electric HDVs by 2030, 894,000 by 2040, and 987,000 by 2050.",M/HDV,2021
North America,Rest of the World,Mexico,National,,Proposal,"50% of LDV sales to be HEVs, PHEVs, and BEVs by 2030, 100% to be PHEVs and BEVs by 2040, and 100% BEVs by 2050",LDV,2021
North America,Rest of the World,Mexico,National,,Legislation,"Mexico sets a tax varying largely on the price of the vehicle and an annual vehicle tax, EV owners
are exempt from both.",Taxation,2019
North America,Rest of the World,Mexico,National,,Legislation,"Import tax exemption for EVs (electric passenger vehicles, light vehicles, cargo vehicles and trolleybuses) as temporary measure until 30 September 2024.",Multiple,2020
North America,Rest of the World,Mexico,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Africa,Rest of the World,Morocco,National,,Target,Target of 258 000 electric cars in 2030.,LDV,2022
Africa,Rest of the World,Morocco,National,,Target,Target of 250 000 electric 2/3Ws in 2030.,2/3W,2022
Africa,Rest of the World,Morocco,National,,Target,Target of 2 000 electric buses in 2030.,Bus,2022
Africa,Rest of the World,Morocco,National,,Legislation,"Reduced duties, green loans and subsidies, as well as exemptions for EVs from luxury and road taxes.",Taxation,2022
Africa,Rest of the World,Morocco,National,,Target,"Target of almost 30 000 charging points for LDVs, 2/3Ws, and buses by 2030.",EVSE,2022
Africa,Rest of the World,Morocco,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Asia Pacific,Rest of the World,Nepal,National,,Ambition,"20% 4W (i.e. bus and taxi) public passenger vehicle sales, 60% by 2030.",Bus,2021
Asia Pacific,Rest of the World,Nepal,National,,Ambition,"25% share of EVs in private passenger vehicle sales (including two-wheelers) by 2025, and 90% by
2030.",LDV,2021
Europe,Europe,Netherlands,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Europe,Europe,Netherlands,Multi-national,,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.",LDV,2022
Europe,Europe,Netherlands,Subnational,Amsterdam,Ambition,"Emission-free for all traffic by 2030, including a 2025 target for an extensive emission free zone.",Multiple,2019
Europe,Europe,Netherlands,National,,Target,100% of public urban bus sales to be ZEV by 2025 and 100% ZEV stock by 2030.,Bus,2019
Europe,Europe,Netherlands,National,,Ambition,100% ZEV share of car sales by 2030.,LDV,2021
Europe,Europe,Netherlands,National,,Ambition,"15 000 FCEV passenger car stock by 2025, 300 000 by 2030; 50% ZEV share of taxi sales by 2025.",LDV,2019
Europe,Europe,Netherlands,National,,Ambition,3 000 heavy-duty FCEV by 2025.,M/HDV,2019
Europe,Europe,Netherlands,National,,Legislation,"Grants available towards the purchase of ZEV trucks, with the amount varying depending on the
size of the company purchasing the vehicles.",M/HDV,2022
Europe,Europe,Netherlands,National,,Legislation,"Grants available, increasing with the size of the bus being purchased.",Bus,2021
Europe,Europe,Netherlands,National,,Legislation,"Grants available for the purchase or lease of new EV with a range of at least 120 km, lower rates
for used EVs.",LDV,2020
Europe,Europe,Netherlands,National,,Legislation,Grants towards the purchase of a new light or medium duty commercial vehicle (N1/N2).,LDV,2021
Europe,Europe,Netherlands,National,,Legislation,"Registration and motor tax exemptions for ZEVs, and reduced rates for low emission vehicles.",Taxation,2025
Europe,Europe,Netherlands,National,,Target,Zero emission transport zones to be introduced in 14 cities by 2025.,Multiple,2021
Europe,Europe,Netherlands,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Asia Pacific,Rest of the World,New Zealand,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Asia Pacific,Rest of the World,New Zealand,Multi-national,,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.",LDV,2022
Asia Pacific,Rest of the World,New Zealand,National,,Target,100% of sales of urban buses to be ZEVs by 2025 and 100% of stock by 2035.,Bus,2021
Asia Pacific,Rest of the World,New Zealand,National,,Target,Increase ZEVs to 30% of the light fleet by 2035.,LDV,2022
Asia Pacific,Rest of the World,New Zealand,National,,Legislation,"Rebates available for ZEV and low-emission vehicles, with reduced rates for used vehicles, also
included are fees for higher emitting vehicles (Clean Car Discount).",LDV,2022
Asia Pacific,Rest of the World,New Zealand,National,,Legislation,"Clean Car Import Standard sets ambitious targets and financial penalties on vehicle distributors to reduce average emissions to 63 grammes of CO2/km for passenger cars and 87 grammes for LCVs for vehicles entering New Zealand by 2027, equivalent to a ca. 40% reduction in CO2 emissions by 2025, and a ca. 65% by 2027 (from 2021). Revenues generated are used to provide rebates on
BEVs and PHEVs.",LDV,2022
Asia Pacific,Rest of the World,New Zealand,National,,Target,"Comprehensive EV charging strategy including a target for a charging hub every 150-200km on
main highways by 2028.",EVSE,2023
Asia Pacific,Rest of the World,New Zealand,National,,Target,Reduce emissions from freight transport by 35% by 2035.,M/HDV,2022
Asia Pacific,Rest of the World,New Zealand,National,,Legislation,EVs are exempt from Road User Charges.,Taxation,2009
Asia Pacific,Rest of the World,New Zealand,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Central and South America,Rest of the World,Nicaragua,National,,Legislation,"EVs are exempt from import customs duty, selective consumption tax, and value added tax.",Taxation,2022
Africa,Rest of the World,Nigeria,National,,Legislation,"Nigerian Automotive Industry Development Plan (NADIP) aims to boost local production of vehicles (40% local content target) and promote EVs (30% locally produced vehicles to be electric) by 2032, with incentives including reduced import duties and tax incentives for manufacturers.",Manufacturing,2023
Africa,Rest of the World,Nigeria,National,,Legislation,"Vehicle finance scheme aiming to facilitate the adoption of 45 000 passenger cars and 50 000
commercial vehicles per annum.",LDV,2023
Africa,Rest of the World,Nigeria,National,,Ambition,"100% transition to EV by 2060 with interim targets of 1% EV and 2% HEV by 2030, and 60% EV and 20% HEV by 2050.",LDV,2020
Europe,Europe,Norway,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Europe,Europe,Norway,Multi-national,,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Norway specifically aims for all new LDVs to be ZEVs, and that all new city buses are ZEV or biogas by 2025, as well as 75% of new heavy vans and long-distance buses, and 50% of new lorries being
ZEV by 2030.",LDV,2022
Europe,Europe,Norway,Subnational,Oslo,Legislation,"Oslo aims to be the first transport emissions-free city in Europe through a series of ultra low- emission zones. They will also stop the sale of new fossil fuel cars later in the decade, aiming to
have all cars zero-emission by 2030.",Multiple,2022
Europe,Europe,Norway,National,,Target,"All new city buses to be zero-emission or biogas by 2025, 75% ZEV inter-city buses by 2030.",Bus,2021
Europe,Europe,Norway,National,,Ambition,Goods distribution in the biggest city centres to be virtually zero-emissions by 2030.,Multiple,2022
Europe,Europe,Norway,National,,Target,All new LDV sales to be zero-emission by 2025.,LDV,2021
Europe,Europe,Norway,National,,Target,All new medium-duty and 50% of heavy-duty vehicles to be zero-emission by 2030.,M/HDV,2021
Europe,Europe,Norway,National,,Legislation,"Norway will introduce value added tax on higher-cost EV purchases from 2023; previously all EV
sales were exempt from value added tax.",Taxation,2023
Europe,Europe,Norway,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",LDV,2022
Asia Pacific,Rest of the World,Pakistan,National,,Ambition,"Changes to tax codes to promote local manufacturing and export potential of EVs, EV parts, and
charging equipment.",Manufacturing,2021
Asia Pacific,Rest of the World,Pakistan,National,,Target,"30% share of EVs in LDV sales by 2030, and 90% by 2040.",LDV,2019
Asia Pacific,Rest of the World,Pakistan,National,,Target,"30% share of EVs in truck sales by 2030, and 90% by 2040.",M/HDV,2020
Asia Pacific,Rest of the World,Pakistan,National,,Target,"50% share of bus sales to be EV by 2030, and 90% by 2040.",Bus,2019
Asia Pacific,Rest of the World,Pakistan,National,,Target,"50% share of EVs in two/three-wheeler sales by 2030, and 90% by 2040.",2/3W,2019
Central and South America,Rest of the World,Panama,National,,Target,"Transition of public transport to EV: 10% by 2025, 20% by 2027, and 33% by 2030.",Bus,2022
Central and South America,Rest of the World,Panama,National,,Target,"Transition of selected public entity vehicles and transport solutions to EV: 10% by 2025, 25% by
2027, 40% by 2030.",Bus,2022
Asia Pacific,Rest of the World,"Papua New
Guinea",Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2023
Asia Pacific,Rest of the World,"Papua New
Guinea",National,,Target,"Range of subsidies for a limited number of charger installations, commercial vehicles and cars.",Multiple,2022
Asia Pacific,Rest of the World,"Papua New
Guinea",National,,Target,15% share of EVs in all new vehicle sales by 2030.,Multiple,2022
Central and South America,Rest of the World,Paraguay,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",LDV,2022
Southeast Asia,Rest of the World,Philippines,National,,Legislation,Hybrids pay 50% of the excise tax and BEVs are exempt.,LDV,2017
Southeast Asia,Rest of the World,Philippines,National,,Legislation,"Electric Vehicle Industry Development Act (EVIDA) provides fiscal and non-fiscal incentives to support e-mobility including tax exemptions, and also governs the manufacturing, assembly, importation, construction, installation, maintenance, trade and utilisation, research and
development and regulation of EVs.",Manufacturing,2022
Southeast Asia,Rest of the World,Philippines,National,,Ambition,"Deployment of over 200 000, almost 400 000, and over 550 000 new EVs over the period up to 2028, to 2034, and to 2040, respectively, in the Business as Usual case. In the Clean Energy Scenario these figures are almost 1.9 million, over 1.2 million, and and almost 1.2 million.",2/3W,2023
Southeast Asia,Rest of the World,Philippines,National,,Ambition,"Deployment of almost 110 000, almost 200 000, and almost 300 000 new EVs over the period up to 2028, to 2034, and to 2040, respectively, in the Business as Usual case. In the Clean Energy Scenario these figures are over 550 000, almost 650 000, and over 850 000 and a greater share of
early adoption is HEVs, with later adoption predominately BEVs.",LDV,2023
Southeast Asia,Rest of the World,Philippines,National,,Ambition,"Deployment of 600, almost 1 200, and almost 1 800 new BEVs over the period up to 2028, to
2034, and to 2040, respectively, in the Business as Usual case. In the Clean Energy Scenario these figures are over 2 200, almost 1 500, and over 1 600.",Bus,2023
Europe,Europe,Poland,National,,Target,"600 000 EVs and hybrids by 2030, with an ambition of up to 1 million by 2025.",LDV,2020
Europe,Europe,Poland,National,,Target,"In cities of more than 100 000 people, ZEVs to make up 100% of new public transport purchases by 2025, and 100% of all public transport vehicles by 2030.",Bus,2020
Europe,Europe,Poland,National,,Target,"Installation of 49 000 slow and 11 000 fast charging points by 2030, with an ambition for as many
as 85 000 and 15 000 respectively.",EVSE,2020
Europe,Europe,Poland,National,,Legislation,"Grants towards the purchase of ZEVs, with higher amounts available depending on vehicle size, commercial use, and annual mileage.",LDV,2021
Europe,Europe,Poland,National,,Legislation,Grant available equal to 30-50% of the eligible costs depending on power rating.,EVSE,2022
Europe,Europe,Poland,National,,Legislation,"Additional subsidies specifically for the purchase of EVs and chargers by the country's national
parks.",Multiple,2022
Europe,Europe,Poland,National,,Legislation,"Local governments have to ensure at least a 30% share of ZEVs in their LDV fleets by 2025, as well as 30% ZEV (or biomethane) buses in public transport services from 2028. Central government
central LDV fleet target is 50% by 2025.",LDV,2018
Europe,Europe,Poland,National,,Legislation,"Grant of 80-90% of eligible costs of the purchase or lease of an electric bus (BEV/FCEV/e-Trolley),
and 50% of the infrastructure cost.",Bus,2020
Europe,Europe,Poland,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Europe,Europe,Portugal,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Europe,Europe,Portugal,National,,Ambition,"30% EV share of car sales by 2030, 100%  by 2050. Diesel to no longer be cost effective by 2030,
petrol by 2040, in both cases replaced by EVs.",LDV,2019
Europe,Europe,Portugal,National,,Legislation,"BEVs are exempt from payment of vehicle and road tax, reduction of 75% for PHEVs, and 40% for
HEVs.",LDV,2017
Europe,Europe,Portugal,National,,Legislation,Grants available for the installation cost plus up to 80% of the cost of a home charger.,EVSE,2017
Europe,Europe,Portugal,National,,Ambition,Hydrogen and electricity to account for almost 100% of heavy duty transport by 2050.,M/HDV,2019
Europe,Europe,Portugal,National,,Legislation,"Grants towards the purchase of private BEVs, with higher amounts available for BEV LCVs.",LDV,2017
Europe,Europe,Romania,National,,Ambition,"600 000 charging stations, 40 000 of which are fast or semi-fast.",EVSE,2020
Europe,Europe,Romania,National,,Ambition,700 000 BEV and P/HEVs by 2030,LDV,2020
Europe,Europe,Romania,National,,Legislation,"Grants towards the purchase of a BEV, lower amounts for a PHEVs, with mandatory scrappage of
one car, and various bonuses available.",LDV,2020
Eurasia,Rest of the World,Russia,National,,Target,"Production of at least 25 000 EVs by 2024, and no less than 10% of total production to be EVs by 2030.",Manufacturing,2021
Eurasia,Rest of the World,Russia,National,,Target,"State funding for the development of a battery industry, including production of the raw
materials.",Manufacturing,2021
Eurasia,Rest of the World,Russia,National,,Ambition,"At least 9 400 and 2 900 standard and fast charging stations by 2024, and 72 000 and 28 000 respectively by 2030, and up to 144 000 in more ambitious scenarios.",EVSE,2021
Eurasia,Rest of the World,Russia,National,,Target,EVs are exempt from tolls.,LDV,2021
Eurasia,Rest of the World,Russia,National,,Target,"Scenarios (3) envisage a 5-30% share of new sales by 2030, meaning 0.5 - 3.2 million EVs on the
road by 2030.",LDV,2021
Africa,Rest of the World,Rwanda,National,,Legislation,"Tariffs at charging stations are capped at industrial rates, with lower off-peak tariffs; provision of
charging stations including planning codes.",EVSE,2021
Africa,Rest of the World,Rwanda,National,,Legislation,"Introduction of a carbon tax, establishment of restricted zones for green transport, and further preferential treatment for EVs.",Taxation,2021
Africa,Rest of the World,Rwanda,National,,Legislation,"VAT, withholding tax, and import duty exemptions for EVs and associated parts/equipment.",Taxation,2021
Africa,Rest of the World,Rwanda,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Central and South America,Rest of the World,Saint Lucia,National,,Legislation,Reduced import duties for hybrid and electric vehicles.,Taxation,2023
Europe,Europe,Scotland,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Africa,Rest of the World,Seychelles,National,,Target,100% of public bus stock to be electric by 2050.,Bus,2022
Africa,Rest of the World,Seychelles,National,,Target,30% of new private vehicle sales to be electric by 2030.,LDV,2022
Southeast Asia,Rest of the World,Singapore,National,,Target,"All new buses since 2020 are EV or hybrid, with the aim of phasing out all existing diesel buses by 2040 (100% of stock to be EV by 2040).",Bus,2020
Southeast Asia,Rest of the World,Singapore,National,,Target,"Deploy 60 000 EV charging points by 2030, 40 000 in public car parks and 20 000 in private
premises.",EVSE,2020
Southeast Asia,Rest of the World,Singapore,National,,Target,"No new diesel car or taxi registrations from 2025, and all new registrations to be EV, PHEV, or
FCEV by 2030.",LDV,2021
Southeast Asia,Rest of the World,Singapore,National,,Legislation,"Suite of rebates, reduced registration costs, and lower taxes applied to EVs and petrol hybrids.",LDV,2021
Southeast Asia,Rest of the World,Singapore,National,,Legislation,Enhanced Commercial Vehicle Emissions and Early Turnover Schemes which provides incentives and discounted registration costs to owners replacing their older more polluting vehicles.,Multiple,2022
Central and South America,Rest of the World,Sint Maarten,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Europe,Europe,Slovak Republic,National,,Legislation,"Grants available for BEVs and PHEVs. In addition to cars, light-commercial vehicles/vans up to 3.5 tonnes also qualify. The subsidy programme operates on a first-come, first-served basis, with both EVs and PHEVs covered by the same subsidy pool; the application process occurs when and where
the vehicles are purchased; there are no vehicle price restrictions.",LDV,2023
Europe,Europe,Slovak Republic,National,,Legislation,"Slovak Republic automotive EV action plan includes financial measures to suppport EVs and EVSE and legislative measures in the areas of taxation and infrastructure, among other measures.",Multiple,2023
Europe,Europe,Slovenia,National,,Target,"No new sales of LDVs with CO2 emissions above 100 g CO2/km by 2025, and 50 g CO2/km by
2030.",LDV,2017
Europe,Europe,Slovenia,National,,Legislation,Grant towards the purchase of a new BEV.,LDV,2017
Europe,Europe,Slovenia,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Asia Pacific,Rest of the World,"Solomon
Islands",National,,Target,Targets for the installation of both slow and fast chargers between 2022 and 2035.,EVSE,2022
Asia Pacific,Rest of the World,"Solomon
Islands",National,,Target,"EV sales share targets of 20%, 70%, and 100% by 2025, 2030, and 2035 for two-wheelers, and
100% for three-wheelers from 2025.",2/3W,2022
Asia Pacific,Rest of the World,"Solomon
Islands",National,,Target,"EV sales share targets of 20%, 30%, and 40% by 2025, 2030 and 2035. Targets are higher for taxis,
and lower for LCVs.",LDV,2022
Asia Pacific,Rest of the World,"Solomon
Islands",National,,Target,"EV sales share targets of 20%, 50% and 70% by 2025, 2030 and 2035.",Bus,2022
Asia Pacific,Rest of the World,Solomon Islands,National,,Target,"EV sales share targets of 5%, 10% and 15% by 2025, 2030 and 2035.",M/HDV,2022
Africa,Rest of the World,South Africa,National,,Target,Add 40 solar powered public EV charging stations per annum.,EVSE,2018
Africa,Rest of the World,South Africa,National,,Legislation,Specific investment incentives for the production of electric and hydrogen-powered vehicles under the Automotive Production Development Programme.,Manufacturing,2024
Africa,Rest of the World,South Africa,National,,Target,"Convert 5% of the public and national fleet to cleaner alternative fuel and efficient technology
vehicles by 2025, with annual increase of 2% thereafter.",Bus,2018
Europe,Europe,Spain,National,,Ambition,100 000 charging points to support 250 000 EVs by 2023.,EVSE,2020
Europe,Europe,Spain,National,,Legislation,"Grants available for vehicle purchase depending on vehicle and company size, as well as for
charging infrastructure.",M/HDV,2021
Europe,Europe,Spain,National,,Proposal,"Fuel supply facilities are obliged to install EV chargers, with limited exceptions.",EVSE,2021
Europe,Europe,Spain,National,,Proposal,Grants of 30 - 55% for businesses installing charging infrastructure.,EVSE,2021
Europe,Europe,Spain,National,,Proposal,"Grants of 70 -  80% for non-commercial communities and the self-employed installing charging
infrastructure.",EVSE,2021
Europe,Europe,Spain,National,,Proposal,No sales of passenger LDVs that emit CO2 at the tailpipe by 2040.,LDV,2021
Europe,Europe,Spain,National,,Legislation,"Grants towards the purchase of EVs, with bonuses for scrapping a vehicle more than 7 years old, for self-employed drivers in municipalities of fewer than 5 000 people, and for those with reduced
mobility.",LDV,2021
Europe,Europe,Spain,National,,Target,"National Energy and Climate Plan: 5 million EVs by 2030 (across all modes); interim goal of 250
000 by 2023.",Multiple,2021
Europe,Europe,Spain,National,,Proposal,"Creation of low-emissions zones in municipalities with more than 50 000 people, covering 70% of
Spanish cities.",Multiple,2021
Europe,Europe,Spain,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Asia Pacific,Rest of the World,Sri Lanka,National,,Target,Passenger LDV fleet to be EVs by 2040.,LDV,2017
Asia Pacific,Rest of the World,Sri Lanka,National,,Target,All state-owned vehicles to be electric by 2025 (across all modes).,Multiple,2017
Europe,Europe,Sweden,Multi-national,,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.",LDV,2022
Europe,Europe,Sweden,National,,Legislation,"A grant of 20% of the purchase price is available for public transport authorities, municipalities, or limited companies; 40% of the difference between the EV bus purchase price and a comparable
diesel bus for private transport companies.",Bus,2016
Europe,Europe,Sweden,National,,Proposal,Ban on new petrol or diesel cars sales after 2030.,LDV,2019
Europe,Europe,Sweden,National,,Proposal,Expansion of 2 400 km of electric road by 2037.,M/HDV,2021
Europe,Europe,Sweden,National,,Ambition,"Public and private pledges (accompanied by action plans) to electrify regional freight transport
under the Commission for Electrification.",M/HDV,2021
